,ctrlength,tempres,category,match,start_dt,stop_dt,SNR,SNR_refined,signal_dB,signal_dB_refined,sequence,fishing_net,behaviour,group_size
5395.json,1.4836943836400351,0.0098912958909335,89,98.63670896066454,2020-07-12 14:01:14.970111776,2020-07-12 14:01:16.453806159,16.212534627606793,23.48793967052173,-61.399307,-54.10526,Control,Present,Attraction,2.0
5414.json,2.127975379753352,0.0099438101857633,164,97.31611601246834,2020-07-12 14:01:04.164051027,2020-07-12 14:01:06.292026407,10.007791512021411,11.737032358119553,-62.254974,-59.595215,Control,Present,Attraction,2.0
5421.json,1.2703969773950448,0.0098480385844577,91,97.74491323354069,2020-07-12 14:01:29.229536365,2020-07-12 14:01:30.499933342,21.39827969074249,25.46117570400238,-56.562317,-52.520275,Control,Present,Attraction,2.0
5425.json,1.6142992491509247,0.009903676375159,25,98.12802179256174,2020-07-12 14:26:35.857942890,2020-07-12 14:26:37.472242139,12.087450262360973,15.223850137494468,-59.5104,-56.40625,Control,Present,Travelling,5.0
5431.json,1.294558818159679,0.0098821283828983,151,99.04973920664035,2020-07-12 14:26:35.448519168,2020-07-12 14:26:36.743077986,14.471964212111486,16.941551326233665,-56.539543,-54.046997,Control,Present,Travelling,5.0
5432.json,1.0398613518197592,0.0099034414459024,44,99.23697810522516,2020-07-12 14:26:38.402879616,2020-07-12 14:26:39.442740968,11.172746148728232,16.277513198270142,-61.11156,-56.1017,Control,Present,Travelling,5.0
5466.json,1.2738209322106062,0.0098745808698496,11,98.72878977562664,2020-07-12 14:05:10.860483781,2020-07-12 14:05:12.134304713,20.9492360830307,24.091463232040404,-51.60908,-48.527378,Control,Present,Travelling,6.0
5472.json,1.1952410695093043,0.0098780253678454,121,98.97004371605476,2020-07-12 14:05:27.155465836,2020-07-12 14:05:28.350706906,22.5751277923584,25.953242212931315,-52.009007,-48.6676,Control,Present,Travelling,6.0
5477.json,1.6315660966139127,0.0098882793734176,3,98.02881796901094,2020-07-12 14:05:22.918356924,2020-07-12 14:05:24.549923020,28.47155650069074,32.91926746833615,-41.97679,-37.469765,Control,Present,Travelling,6.0
5478.json,1.1187290979317197,0.0099002575038205,170,97.4500897996196,2020-07-12 14:05:23.048634064,2020-07-12 14:05:24.167363162,19.09657265953984,24.278993281912296,-47.20024,-41.912292,Control,Present,Travelling,6.0
5485.json,1.1621548115298062,0.0098487695892356,52,100.0,2020-07-12 14:05:12.111557911,2020-07-12 14:05:13.273712723,18.947572499105377,21.21725701632565,-53.706577,-51.441273,Control,Present,Travelling,6.0
5491.json,1.2593456943445744,0.0099161078294848,31,100.0,2020-07-12 14:05:26.076026669,2020-07-12 14:05:27.335372364,20.11823223210588,25.28916657121876,-52.443966,-46.939342,Control,Present,Travelling,6.0
