,ctrlength,tempres,category,match,start_dt,stop_dt,SNR,SNR_refined,signal_dB,signal_dB_refined,sequence,fishing_net,behaviour,group_size
12935.json,1.1475041424592192,0.009892277090165682,13,100,2021-07-09 12:08:36.169593326,2021-07-09 12:08:37.317097469,,,,,,,,
12942.json,1.0057422295701741,0.009860217936962491,58,99.61228107054214,2021-07-09 12:13:39.260760375,2021-07-09 12:13:40.266502605,,,,,,,,
12980.json,1.6793033665753043,0.009936706311096475,11,97.01299549781297,2021-07-09 11:25:56.126655988,2021-07-09 11:25:57.805959355,,,,,,,,
12988.json,1.0883907711736711,0.009894461556124282,15,100,2021-07-09 11:25:21.132185247,2021-07-09 11:25:22.220576018,,,,,,,,
12993.json,1.6814646321693516,0.009890968424525597,53,97.83162409061677,2021-07-09 11:25:57.373706236,2021-07-09 11:25:59.055170868,,,,,,,,
12994.json,1.5517886965264722,0.009884004436474345,40,97.03868507148084,2021-07-09 11:25:57.585510264,2021-07-09 11:25:59.137298961,,,,,,,,
13017.json,1.0615279732849388,0.009828962715601285,49,99.1212459761574,2021-07-09 11:16:12.977619228,2021-07-09 11:16:14.039147202,,,,,,,,
13026.json,1.4560986807458534,0.009905433202352744,52,99.34697063681145,2021-07-09 11:16:23.120447310,2021-07-09 11:16:24.576545991,,,,,,,,
13027.json,1.0497430272786374,0.00990323610640224,16,99.77643060329764,2021-07-09 11:16:25.622224030,2021-07-09 11:16:26.671967057,,,,,,,,
13043.json,1.0900249048206163,0.00982004418757312,55,97.68690302738754,2021-07-09 11:16:44.135267333,2021-07-09 11:16:45.225292238,,,,,,,,
13065.json,1.2007282532373935,0.009842034862601587,30,98.32574407045443,2021-07-09 11:13:21.752563465,2021-07-09 11:13:22.953291719,,,,,,,,
13071.json,1.206322420131599,0.00988788868960327,39,96.0696603937684,2021-07-09 11:13:36.487238233,2021-07-09 11:13:37.693560653,,,,,,,,
13072.json,1.1569396988966822,0.009888373494843438,12,99.5428935957986,2021-07-09 11:13:21.609674499,2021-07-09 11:13:22.766614197,,,,,,,,
13082.json,1.5255835276989238,0.009906386543499505,14,100,2021-07-09 11:13:24.691681656,2021-07-09 11:13:26.217265183,,,,,,,,
13083.json,1.0623933632924007,0.009836975586040748,37,96.77702169508912,2021-07-09 11:13:27.662333782,2021-07-09 11:13:28.724727145,,,,,,,,
13085.json,1.0221575931212428,0.009828438395396565,5,96.9833849937145,2021-07-09 11:13:29.358532119,2021-07-09 11:13:30.380689712,,,,,,,,
13095.json,1.048937233846182,0.009895634281567754,38,97.49539148421195,2021-07-09 11:13:50.072641693,2021-07-09 11:13:51.121578927,,,,,,,,
13099.json,1.0948068104835755,0.009863124418770951,25,98.1608207475997,2021-07-09 11:13:29.296020001,2021-07-09 11:13:30.390826812,,,,,,,,
13105.json,1.2617309799954661,0.009857273281214579,29,97.44932515850819,2021-07-09 11:13:25.153919578,2021-07-09 11:13:26.415650558,,,,,,,,
13107.json,1.1486513166939858,0.009902166523224015,44,97.71063555089134,2021-07-09 11:13:24.727391023,2021-07-09 11:13:25.876042340,,,,,,,,
13109.json,1.1046585603854062,0.009863022860583983,32,97.45743997520579,2021-07-09 11:13:27.404900309,2021-07-09 11:13:28.509558869,,,,,,,,
13110.json,1.2190326339097979,0.009910834422030878,25,98.66084104245877,2021-07-09 11:13:27.472140395,2021-07-09 11:13:28.691173029,,,,,,,,
13131.json,1.2517786873177918,0.009856525096990486,51,98.27611548555282,2021-07-09 12:14:23.443810017,2021-07-09 12:14:24.695588704,,,,,,,,
13169.json,1.4871102230044961,0.009914068153363308,47,98.80636581815246,2021-07-09 12:14:29.713403351,2021-07-09 12:14:31.200513574,,,,,,,,
13186.json,1.0065087116079567,0.009867732466744675,35,96.27312877025524,2021-07-09 11:30:50.421225445,2021-07-09 11:30:51.427734157,,,,,,,,
13215.json,1.2479014267037662,0.009903979577014018,61,99.58712623832639,2021-07-09 11:27:27.679128079,2021-07-09 11:27:28.927029506,,,,,,,,
13221.json,1.1351604164063005,0.009870960142663483,4,98.81177590610274,2021-07-09 11:27:16.752059916,2021-07-09 11:27:17.887220332,,,,,,,,
13241.json,1.3414874958810414,0.009863878646184128,22,100,2021-07-09 11:36:00.582901138,2021-07-09 11:36:01.924388634,,,,,,,,
13248.json,1.0318624183442218,0.009827261127087827,34,98.19652709292785,2021-07-09 11:12:18.013598187,2021-07-09 11:12:19.045460605,,,,,,,,
13253.json,1.5035942367069586,0.009892067346756307,60,99.6283932804144,2021-07-09 11:12:02.674883634,2021-07-09 11:12:04.178477871,,,,,,,,
13296.json,1.2398346887081715,0.009918677509665371,23,97.86150387116768,2021-07-09 11:12:33.715504599,2021-07-09 11:12:34.955339288,,,,,,,,
13310.json,1.0521474252304466,0.009833153506826604,3,99.29353476582709,2021-07-09 11:28:00.329992698,2021-07-09 11:28:01.382140123,,,,,,,,
13321.json,1.073190373735056,0.009845783245275744,28,98.45639126363993,2021-07-09 11:28:00.943475581,2021-07-09 11:28:02.016665955,,,,,,,,
13332.json,1.0045516035424065,0.00984854513276869,27,100,2021-07-09 12:09:24.911175105,2021-07-09 12:09:25.915726708,,,,,,,,
13338.json,1.0550577013333502,0.009860352348909815,56,98.04108232204267,2021-07-09 12:09:18.634143373,2021-07-09 12:09:19.689201074,,,,,,,,
