,ctrlength,tempres,category,match,start_dt,stop_dt,SNR,SNR_refined,signal_dB,signal_dB_refined,activation_state,fishing_net,behaviour,group_size,category_remap
1103.json,1.15968211041248,0.009911812909508,1,100,2020-07-11 09:33:56.544460739,2020-07-11 09:33:57.704142849,9.51244505790815,11.0632054315854,-61.410984,-59.847702,DUR,Present,Travelling,8,110
1156.json,1.249405412793,0.009915915974548,2,99.2931970476132,2020-07-11 11:51:50.090707449,2020-07-11 11:51:51.340112862,19.132881371079,23.7714299122999,-46.606915,-41.938362,DUR,Present,Foraging,8,69
1215.json,1.03225031526532,0.009830955383479,3,99.0740664527046,2020-07-11 11:57:47.281585959,2020-07-11 11:57:48.313836275,19.8769523620605,23.1981495197003,-40.506046,-37.05282,DUR,Present,Travelling,6,8
1224.json,1.10125869288752,0.009832666900781,4,99.2336168330165,2020-07-11 11:57:47.307464101,2020-07-11 11:57:48.408722794,16.9096963731505,19.189530695085,-43.62824,-41.469475,DUR,Present,Travelling,6,121
1231.json,1.33957324641683,0.009922764788273,3,99.238929547134,2020-07-11 11:57:58.648180243,2020-07-11 11:57:59.987753489,8.72626008306231,17.178751150767,-55.104595,-46.656685,DUR,Present,Travelling,6,8
1239.json,1.04090605230926,0.009819868418012,5,99.4211157116808,2020-07-11 11:57:28.450891587,2020-07-11 11:57:29.491797639,12.4605001784463,15.1014556011171,-55.7816,-53.137764,DUR,Present,Travelling,6,68
1263.json,1.10221656585292,0.009841219337973,6,99.3560646055845,2020-07-11 11:57:43.444328502,2020-07-11 11:57:44.546545067,16.1673031264929,22.5770377975574,-50.003536,-43.578194,DUR,Present,Travelling,6,49
127.json,1.07958368277139,0.009904437456618,7,99.4131301099229,2020-07-11 11:41:38.614066938,2020-07-11 11:41:39.693650620,6.57817150564755,19.6547935149249,-59.88205,-46.7961,DUR,Present,Foraging,12,133
1270.json,1.13576288169862,0.009876198971292,8,98.7028211659654,2020-07-11 11:57:49.216695882,2020-07-11 11:57:50.352458764,22.3104981108979,25.5684833126468,-41.505833,-38.214367,DUR,Present,Travelling,6,67
1274.json,1.12138613636066,0.009836720494392,8,99.192367694675,2020-07-11 11:57:56.172165276,2020-07-11 11:57:57.293551413,26.9128227771168,30.8597408885687,-37.69248,-33.769306,DUR,Present,Travelling,6,67
1294.json,1.12784962005066,0.009893417719743,9,98.6525449814948,2020-07-11 11:57:31.331822424,2020-07-11 11:57:32.459672044,22.2794042506688,33.0166300652732,-43.07668,-32.18375,DUR,Present,Travelling,6,66
1325.json,1.15074288324151,0.009835409258474,3,99.4475530514267,2020-07-11 11:57:29.436075190,2020-07-11 11:57:30.586818073,14.209938312399,23.956797343287,-52.550133,-42.784782,DUR,Present,Travelling,6,8
1338.json,1.15378137074224,0.009861379237113,2,98.247303504603,2020-07-11 11:50:34.297491793,2020-07-11 11:50:35.451273164,20.7256373701424,27.2042464552255,-42.707027,-36.1709,DUR,Present,Foraging,8,69
1340.json,1.11303214998428,0.009849842035259,2,99.4769383699246,2020-07-11 11:50:26.352710834,2020-07-11 11:50:27.465742984,23.5220271383013,31.2091838564192,-39.56899,-31.856201,DUR,Present,Foraging,8,69
1347.json,1.00100530327199,0.009813777483059,5,99.3525800251546,2020-07-11 11:50:50.905107262,2020-07-11 11:50:51.906112566,12.8432214222257,16.7046379815965,-48.756573,-44.910862,DUR,Present,Foraging,8,68
1354.json,1.11761918267624,0.009890435244922,10,99.4716384523461,2020-07-11 11:50:13.438208239,2020-07-11 11:50:14.555827422,8.01238172274109,11.5175940060446,-56.593464,-53.057217,DUR,Present,Foraging,8,132
1361.json,1.49580055992534,0.009905963973016,10,100,2020-07-11 11:50:16.669777363,2020-07-11 11:50:18.165577923,6.62173963100352,12.2629659125145,-58.77776,-53.10816,DUR,Present,Foraging,8,132
163.json,1.08299368811312,0.009845397164665,7,99.5454947672593,2020-07-11 11:41:19.308668100,2020-07-11 11:41:20.391661788,12.6699823772206,18.9932777040145,-49.68206,-43.328106,DUR,Present,Foraging,12,133
193.json,1.29309301662561,0.009870939058211,11,97.8691563140949,2020-07-11 11:44:06.999066791,2020-07-11 11:44:08.292159808,17.8685025408224,26.4120959065443,-50.10058,-41.56755,DUR,Present,Travelling,35,131
221.json,1.29582722303693,0.009891810862877,11,97.5054710072756,2020-07-11 11:44:37.794960672,2020-07-11 11:44:39.090787895,15.1342339076879,22.3881279412954,-53.130474,-45.863102,DUR,Present,Travelling,35,131
25.json,1.08352914346275,0.00985026494057,12,98.2761024592527,2020-07-11 09:36:28.709227646,2020-07-11 09:36:29.792756790,15.8751181442372,19.8450184007631,-55.35606,-51.41957,DUR,Present,Travelling,8,130
329.json,1.05307451680255,0.009841817914043,13,99.5220250160098,2020-07-11 09:38:01.455983647,2020-07-11 09:38:02.509058162,27.9494092840897,33.9264151781125,-46.2411,-40.284355,DUR,Present,Attraction,5,129
426.json,1.19876859265596,0.009907178451702,3,99.4293223105591,2020-07-11 11:58:07.555455106,2020-07-11 11:58:08.754223699,21.5996668497721,31.6895765304565,-41.65885,-31.559593,DUR,Present,Travelling,6,8
437.json,1.11185175309959,0.009839396045129,3,99.1792475987898,2020-07-11 11:58:21.221170511,2020-07-11 11:58:22.333022264,16.5226260593959,25.8799758911133,-48.043026,-38.60194,DUR,Present,Travelling,6,8
455.json,1.26202020181619,0.009859532826689,3,98.9392918674193,2020-07-11 11:58:04.597689383,2020-07-11 11:58:05.859709585,25.4199698586134,30.7767019811666,-37.907413,-32.67303,DUR,Present,Travelling,6,8
464.json,1.24783362218371,0.009903441445902,3,99.3965112809211,2020-07-11 11:58:22.916944407,2020-07-11 11:58:24.164778030,20.2980014533754,26.4452502256746,-43.66145,-37.554855,DUR,Present,Travelling,6,8
