,start_dt,stop_dt,activation_state,fishing_net,behaviour,group_size,date,sequence,file,duration,category
0.json,2020-07-11 08:54:41.370483935,2020-07-11 08:54:41.682442341,DUR,Absent,Socialising,8.0,2020-07-11 08:54:00,2020-07-11_08:36,2020-07-11_08:54,0.311958406,0
1.json,2020-07-11 08:54:32.633429535,2020-07-11 08:54:33.755099196,DUR,Absent,Socialising,8.0,2020-07-11 08:54:00,2020-07-11_08:36,2020-07-11_08:54,1.121669661,0
10.json,2020-07-11 08:54:47.084117528,2020-07-11 08:54:47.681090797,DUR,Absent,Socialising,8.0,2020-07-11 08:54:00,2020-07-11_08:36,2020-07-11_08:54,0.596973269,0
100.json,2020-07-11 09:04:10.606585789,2020-07-11 09:04:11.022530329,DUR,Absent,Socialising,8.0,2020-07-11 09:04:00,2020-07-11_08:36,2020-07-11_09:04,0.41594454,0
1000.json,2020-07-11 11:40:50.489268098,2020-07-11 11:40:50.801226503,DUR,Present,Foraging,12.0,2020-07-11 11:40:00,2020-07-11_11:40,2020-07-11_11:40,0.311958405,0
10000.json,2020-07-16 09:57:45.704095536,2020-07-16 09:57:45.867759472,DUR,Present,Travelling,7.0,2020-07-16 09:57:00,2020-07-16_09:51,2020-07-16_09:57,0.163663936,0
10005.json,2020-07-16 09:57:07.908916450,2020-07-16 09:57:08.042593090,DUR,Present,Travelling,7.0,2020-07-16 09:57:00,2020-07-16_09:51,2020-07-16_09:57,0.13367664,0
10006.json,2020-07-16 09:57:36.133273589,2020-07-16 09:57:36.865382241,DUR,Present,Travelling,7.0,2020-07-16 09:57:00,2020-07-16_09:51,2020-07-16_09:57,0.732108652,0
10007.json,2020-07-16 09:57:50.227512921,2020-07-16 09:57:51.112712736,DUR,Present,Travelling,7.0,2020-07-16 09:57:00,2020-07-16_09:51,2020-07-16_09:57,0.885199815,0
10008.json,2020-07-16 09:57:31.859609613,2020-07-16 09:57:32.019909557,DUR,Present,Travelling,7.0,2020-07-16 09:57:00,2020-07-16_09:51,2020-07-16_09:57,0.160299944,0
10009.json,2020-07-16 09:57:44.901548528,2020-07-16 09:57:45.016851421,DUR,Present,Travelling,7.0,2020-07-16 09:57:00,2020-07-16_09:51,2020-07-16_09:57,0.115302893,0
1001.json,2020-07-11 11:40:56.929035134,2020-07-11 11:40:57.062662887,DUR,Present,Foraging,12.0,2020-07-11 11:40:00,2020-07-11_11:40,2020-07-11_11:40,0.133627753,0
10010.json,2020-07-16 09:57:37.023618982,2020-07-16 09:57:37.194514661,DUR,Present,Travelling,7.0,2020-07-16 09:57:00,2020-07-16_09:51,2020-07-16_09:57,0.170895679,0
10012.json,2020-07-16 09:57:37.796914162,2020-07-16 09:57:38.447296222,DUR,Present,Travelling,7.0,2020-07-16 09:57:00,2020-07-16_09:51,2020-07-16_09:57,0.65038206,0
10013.json,2020-07-16 09:57:13.929236951,2020-07-16 09:57:14.438177797,DUR,Present,Travelling,7.0,2020-07-16 09:57:00,2020-07-16_09:51,2020-07-16_09:57,0.508940846,0
10014.json,2020-07-16 09:57:54.097182541,2020-07-16 09:57:54.602988888,DUR,Present,Travelling,7.0,2020-07-16 09:57:00,2020-07-16_09:51,2020-07-16_09:57,0.505806347,0
10015.json,2020-07-16 09:57:39.927083443,2020-07-16 09:57:40.437271087,DUR,Present,Travelling,7.0,2020-07-16 09:57:00,2020-07-16_09:51,2020-07-16_09:57,0.510187644,0
10016.json,2020-07-16 09:57:03.174325320,2020-07-16 09:57:03.298910366,DUR,Present,Travelling,7.0,2020-07-16 09:57:00,2020-07-16_09:51,2020-07-16_09:57,0.124585046,0
